,temperatura,altitud,kmeans_k4,jerarquico_k4
4,17.714071856287426,637,2,4
8,18.057784431137726,672,1,1
16,17.818507462686565,695,1,1
18,18.11299093655589,625,2,4
24,16.795495495495494,645,1,2
35,18.313173652694612,660,1,1
36,17.01801801801802,671,1,2
38,17.662874251497005,699,1,1
39,17.72289156626506,675,1,1
54,17.688358208955226,628,2,4
56,18.015223880597016,605,2,4
58,15.957492354740062,611,0,3
59,16.67283582089552,660,1,2
102,14.20089552238806,686,3,2
103,14.957728706624607,595,0,3
106,14.07078313253012,586,0,3
107,14.636253776435046,706,3,2
108,15.291317365269462,659,3,2
109,19.225846153846152,681,1,1
112,17.968730650154797,607,2,4
113,18.569113149847094,607,2,4
114,18.458803986710965,571,2,4
